"case","event"
"case_96","serD|remoteAccess"
"case_96","vulnD|storage"
"case_96","infoD|remoteAccess"
"case_96","acctManip|broadcast"
"case_96","netDOS|broadcast"
"case_97","hostD|remoteAccess"
"case_97","vulnD|storage"
"case_97","infoD|remoteAccess"
"case_97","acctManip|broadcast"
"case_97","netDOS|broadcast"
"case_98","hostD|remoteAccess"
"case_98","serD|remoteAccess"
"case_98","vulnD|storage"
"case_98","infoD|remoteAccess"
"case_98","acctManip|broadcast"
"case_98","netDOS|broadcast"
"case_99","hostD|remoteAccess"
"case_99","serD|remoteAccess"
"case_99","vulnD|storage"
"case_99","infoD|remoteAccess"
"case_99","acctManip|broadcast"
"case_99","netDOS|broadcast"
"case_100","serD|unassigned"
"case_100","vulnD|storage"
"case_100","hostD|remoteAccess"
"case_100","infoD|remoteAccess"
"case_100","acctManip|broadcast"
"case_100","netDOS|broadcast"
"case_101","serD|unassigned"
"case_101","vulnD|storage"
"case_101","hostD|remoteAccess"
"case_101","infoD|remoteAccess"
"case_101","acctManip|broadcast"
"case_101","netDOS|broadcast"
"case_102","serD|unassigned"
"case_102","vulnD|storage"
"case_102","hostD|remoteAccess"
"case_102","infoD|remoteAccess"
"case_102","bfCred|email"
"case_102","acctManip|broadcast"
"case_102","netDOS|broadcast"
"case_103","rPrivEsc|http(s)"
"case_103","CnC|http(s)"
"case_103","privEsc|http(s)"
"case_103","exfil|http(s)"
"case_104","serD|unassigned"
"case_104","vulnD|storage"
"case_104","hostD|remoteAccess"
"case_104","infoD|remoteAccess"
"case_104","acctManip|broadcast"
"case_104","netDOS|broadcast"
"case_105","serD|remoteAccess"
"case_105","uPrivEsc|hostingServer"
"case_105","uPrivEsc|hostingServer"
"case_106","vulnD|storage"
"case_106","hostD|remoteAccess"
"case_106","infoD|remoteAccess"
"case_106","acctManip|broadcast"
"case_106","netDOS|broadcast"
"case_107","vulnD|storage"
"case_107","hostD|remoteAccess"
"case_107","infoD|remoteAccess"
"case_107","acctManip|broadcast"
"case_107","netDOS|broadcast"
"case_108","vulnD|storage"
"case_108","hostD|remoteAccess"
"case_108","infoD|remoteAccess"
"case_108","acctManip|broadcast"
"case_108","netDOS|broadcast"
"case_109","infoD|http(s)"
"case_109","infoD|http(s)"
"case_109","CnC|http(s)"
"case_110","hostD|http(s)"
"case_110","serD|unassigned"
"case_110","vulnD|storage"
"case_110","serD|unassigned"
"case_110","vulnD|storage"
"case_110","hostD|http(s)"
"case_110","hostD|http(s)"
"case_111","serD|unassigned"
"case_111","vulnD|storage"
"case_111","hostD|hostingServer"
"case_111","serD|unassigned"
"case_111","vulnD|storage"
"case_111","CnC|storage"
"case_112","serD|unassigned"
"case_112","vulnD|storage"
"case_112","serD|unassigned"
"case_112","vulnD|storage"
"case_113","serD|unassigned"
"case_113","vulnD|storage"
"case_113","hostD|wireless"
"case_113","infoD|unassigned"
"case_113","exfil|unassigned"
"case_114","serD|unassigned"
"case_114","vulnD|storage"
"case_114","hostD|wireless"
"case_114","infoD|unassigned"
"case_114","exfil|unassigned"
"case_115","serD|unassigned"
"case_115","vulnD|storage"
"case_115","hostD|unassigned"
"case_115","serD|unassigned"
"case_115","vulnD|storage"
"case_115","hostD|unassigned"
"case_115","surf|http(s)"
"case_115","infoD|http(s)"
"case_115","netDOS|http(s)"
"case_116","serD|unassigned"
"case_116","vulnD|storage"
"case_116","serD|unassigned"
"case_116","vulnD|storage"
"case_117","hostD|surveillance"
"case_117","serD|unassigned"
"case_117","vulnD|storage"
"case_117","infoD|unassigned"
"case_117","exfil|unassigned"
"case_118","serD|unassigned"
"case_118","vulnD|storage"
"case_118","hostD|surveillance"
"case_118","exfil|unassigned"
"case_119","serD|unassigned"
"case_119","vulnD|storage"
"case_119","bfCred|email"
"case_120","hostD|http(s)"
"case_120","serD|unassigned"
"case_120","vulnD|storage"
"case_120","bfCred|email"
"case_121","hostD|http(s)"
"case_121","hostD|http(s)"
"case_121","serD|unassigned"
"case_121","vulnD|storage"
"case_121","rPrivEsc|email"
"case_122","serD|unassigned"
"case_122","vulnD|storage"
"case_122","hostD|remoteAccess"
"case_122","infoD|remoteAccess"
"case_122","infoD|remoteAccess"
"case_122","hostD|remoteAccess"
"case_123","serD|unassigned"
"case_123","vulnD|storage"
"case_123","hostD|remoteAccess"
"case_123","infoD|remoteAccess"
"case_123","infoD|remoteAccess"
"case_123","hostD|remoteAccess"
"case_124","serD|unassigned"
"case_124","vulnD|storage"
"case_124","hostD|remoteAccess"
"case_124","infoD|remoteAccess"
"case_124","infoD|remoteAccess"
"case_124","hostD|remoteAccess"
"case_125","serD|unassigned"
"case_125","vulnD|storage"
"case_125","surf|http(s)"
"case_125","infoD|http(s)"
"case_125","netDOS|http(s)"
"case_126","surf|http(s)"
"case_126","serD|unassigned"
"case_126","infoD|http(s)"
"case_126","netDOS|http(s)"
"case_127","hostD|remoteAccess"
"case_127","infoD|remoteAccess"
"case_127","infoD|remoteAccess"
"case_127","hostD|remoteAccess"
"case_127","surf|http(s)"
"case_127","infoD|http(s)"
"case_127","netDOS|http(s)"
"case_128","serD|unassigned"
"case_128","vulnD|storage"
"case_128","surf|http(s)"
"case_128","infoD|http(s)"
"case_128","netDOS|http(s)"
"case_129","surf|remoteAccess"
"case_129","infoD|remoteAccess"
"case_129","hostD|remoteAccess"
"case_129","infoD|remoteAccess"
"case_129","infoD|remoteAccess"
"case_129","hostD|remoteAccess"
"case_130","serD|unassigned"
"case_130","vulnD|storage"
"case_130","hostD|remoteAccess"
"case_130","infoD|remoteAccess"
"case_130","infoD|remoteAccess"
"case_130","hostD|remoteAccess"
"case_131","serD|unassigned"
"case_131","vulnD|storage"
"case_131","hostD|remoteAccess"
"case_131","infoD|remoteAccess"
"case_131","infoD|remoteAccess"
"case_131","hostD|remoteAccess"
"case_132","serD|unassigned"
"case_132","vulnD|storage"
"case_132","hostD|remoteAccess"
"case_132","infoD|remoteAccess"
"case_132","infoD|remoteAccess"
"case_132","hostD|remoteAccess"
"case_133","serD|unassigned"
"case_133","vulnD|storage"
"case_133","hostD|remoteAccess"
"case_133","infoD|remoteAccess"
"case_133","infoD|remoteAccess"
"case_133","hostD|remoteAccess"
"case_134","serD|unassigned"
"case_134","vulnD|storage"
"case_134","hostD|remoteAccess"
"case_134","infoD|remoteAccess"
"case_134","infoD|remoteAccess"
"case_134","hostD|remoteAccess"
"case_135","serD|unassigned"
"case_135","vulnD|storage"
"case_135","hostD|remoteAccess"
"case_135","infoD|remoteAccess"
"case_135","infoD|remoteAccess"
"case_135","hostD|remoteAccess"
"case_136","serD|unassigned"
"case_136","vulnD|storage"
"case_136","serD|unassigned"
"case_136","vulnD|storage"
"case_136","serD|unassigned"
"case_136","vulnD|storage"
"case_136","hostD|http(s)"
"case_136","serD|ATCcomm"
"case_136","vulnD|http(s)"
"case_136","hostD|http(s)"
"case_137","serD|unassigned"
