"case","event"
"case_77","exfil|http(s)->end"
"case_78","start->serD|remoteAccess"
"case_78","serD|remoteAccess->serD|remoteAccess"
"case_78","serD|remoteAccess->serD|remoteAccess"
"case_78","serD|remoteAccess->serD|remoteAccess"
"case_78","serD|remoteAccess->vulnD|hostingServer"
"case_78","vulnD|hostingServer->infoD|wireless"
"case_78","infoD|wireless->rPrivEsc|http(s)"
"case_78","rPrivEsc|http(s)->TOexp|http(s)"
"case_78","TOexp|http(s)->remoteexp|hostingServer"
"case_78","remoteexp|hostingServer->CnC|hostingServer"
"case_78","CnC|hostingServer->ACE|http(s)"
"case_78","ACE|http(s)->dManip|wireless"
"case_78","dManip|wireless->delivery|hostingServer"
"case_78","delivery|hostingServer->end"
"case_79","start->serD|unassigned"
"case_79","serD|unassigned->vulnD|storage"
"case_79","vulnD|storage->hostD|hostingServer"
"case_79","hostD|hostingServer->serD|remoteAccess"
"case_79","serD|remoteAccess->vulnD|http(s)"
"case_79","vulnD|http(s)->surf|http(s)"
"case_79","surf|http(s)->vulnD|http(s)"
"case_79","vulnD|http(s)->infoD|http(s)"
"case_79","infoD|http(s)->uPrivEsc|hostingServer"
"case_79","uPrivEsc|hostingServer->rPrivEsc|http(s)"
"case_79","rPrivEsc|http(s)->end"
"case_80","start->serD|remoteAccess"
"case_80","serD|remoteAccess->PAexp|http(s)"
"case_80","PAexp|http(s)->remoteexp|http(s)"
"case_80","remoteexp|http(s)->ACE|http(s)"
"case_80","ACE|http(s)->dManip|http(s)"
"case_80","dManip|http(s)->exfil|http(s)"
"case_80","exfil|http(s)->delivery|http(s)"
"case_80","delivery|http(s)->end"
"case_81","start->vulnD|http(s)"
"case_81","vulnD|http(s)->rPrivEsc|http(s)"
"case_81","rPrivEsc|http(s)->remoteexp|http(s)"
"case_81","remoteexp|http(s)->ACE|http(s)"
"case_81","ACE|http(s)->dManip|http(s)"
"case_81","dManip|http(s)->end"
"case_82","start->serD|remoteAccess"
"case_82","serD|remoteAccess->serD|remoteAccess"
"case_82","serD|remoteAccess->serD|remoteAccess"
"case_82","serD|remoteAccess->vulnD|http(s)"
"case_82","vulnD|http(s)->infoD|http(s)"
"case_82","infoD|http(s)->TOexp|http(s)"
"case_82","TOexp|http(s)->PAexp|http(s)"
"case_82","PAexp|http(s)->remoteexp|http(s)"
"case_82","remoteexp|http(s)->ACE|hostingServer"
"case_82","ACE|hostingServer->dManip|http(s)"
"case_82","dManip|http(s)->exfil|http(s)"
"case_82","exfil|http(s)->delivery|http(s)"
"case_82","delivery|http(s)->end"
"case_83","start->serD|remoteAccess"
"case_83","serD|remoteAccess->serD|remoteAccess"
"case_83","serD|remoteAccess->serD|remoteAccess"
"case_83","serD|remoteAccess->end"
"case_84","start->serD|unassigned"
"case_84","serD|unassigned->vulnD|storage"
"case_84","vulnD|storage->vulnD|storage"
"case_84","vulnD|storage->end"
"case_85","start->serD|unassigned"
"case_85","serD|unassigned->vulnD|storage"
"case_85","vulnD|storage->bfCred|email"
"case_85","bfCred|email->end"
"case_86","start->hostD|http(s)"
"case_86","hostD|http(s)->serD|unassigned"
"case_86","serD|unassigned->vulnD|storage"
"case_86","vulnD|storage->infoD|remoteAccess"
"case_86","infoD|remoteAccess->vulnD|storage"
"case_86","vulnD|storage->infoD|remoteAccess"
"case_86","infoD|remoteAccess->serD|unassigned"
"case_86","serD|unassigned->vulnD|http(s)"
"case_86","vulnD|http(s)->bfCred|email"
"case_86","bfCred|email->end"
"case_87","start->surf|http(s)"
"case_87","surf|http(s)->serD|remoteAccess"
"case_87","serD|remoteAccess->vulnD|http(s)"
"case_87","vulnD|http(s)->infoD|http(s)"
"case_87","infoD|http(s)->rPrivEsc|http(s)"
"case_87","rPrivEsc|http(s)->resHJ|http(s)"
"case_87","resHJ|http(s)->exfil|http(s)"
"case_87","exfil|http(s)->end"
"case_88","start->acctManip|http(s)"
"case_88","acctManip|http(s)->TOexp|http(s)"
"case_88","TOexp|http(s)->PAexp|http(s)"
"case_88","PAexp|http(s)->remoteexp|http(s)"
"case_88","remoteexp|http(s)->ACE|http(s)"
"case_88","ACE|http(s)->privEsc|http(s)"
"case_88","privEsc|http(s)->dManip|http(s)"
"case_88","dManip|http(s)->end"
"case_89","start->hostD|remoteAccess"
"case_89","hostD|remoteAccess->serD|unassigned"
"case_89","serD|unassigned->vulnD|storage"
"case_89","vulnD|storage->infoD|remoteAccess"
"case_89","infoD|remoteAccess->acctManip|broadcast"
"case_89","acctManip|broadcast->netDOS|broadcast"
"case_89","netDOS|broadcast->end"
"case_90","start->hostD|remoteAccess"
