"case","event","index"
121,"vulnD|storage",1
121,"serD|unassigned",2
121,"hostD|http(s)",3
121,"hostD|http(s)",4
122,"hostD|remoteAccess",0
122,"infoD|remoteAccess",1
122,"infoD|remoteAccess",2
122,"hostD|remoteAccess",3
122,"vulnD|storage",4
122,"serD|unassigned",5
123,"hostD|remoteAccess",0
123,"infoD|remoteAccess",1
123,"infoD|remoteAccess",2
123,"hostD|remoteAccess",3
123,"vulnD|storage",4
123,"serD|unassigned",5
124,"hostD|remoteAccess",0
124,"infoD|remoteAccess",1
124,"infoD|remoteAccess",2
124,"hostD|remoteAccess",3
124,"vulnD|storage",4
124,"serD|unassigned",5
125,"netDOS|http(s)",0
125,"infoD|http(s)",1
125,"surf|http(s)",2
125,"vulnD|storage",3
125,"serD|unassigned",4
126,"netDOS|http(s)",0
126,"infoD|http(s)",1
126,"serD|unassigned",2
126,"surf|http(s)",3
127,"netDOS|http(s)",0
127,"infoD|http(s)",1
127,"surf|http(s)",2
127,"hostD|remoteAccess",3
127,"infoD|remoteAccess",4
127,"infoD|remoteAccess",5
127,"hostD|remoteAccess",6
128,"netDOS|http(s)",0
128,"infoD|http(s)",1
128,"surf|http(s)",2
128,"vulnD|storage",3
128,"serD|unassigned",4
129,"hostD|remoteAccess",0
129,"infoD|remoteAccess",1
129,"infoD|remoteAccess",2
129,"hostD|remoteAccess",3
129,"infoD|remoteAccess",4
129,"surf|remoteAccess",5
130,"hostD|remoteAccess",0
130,"infoD|remoteAccess",1
130,"infoD|remoteAccess",2
130,"hostD|remoteAccess",3
130,"vulnD|storage",4
130,"serD|unassigned",5
131,"hostD|remoteAccess",0
131,"infoD|remoteAccess",1
131,"infoD|remoteAccess",2
131,"hostD|remoteAccess",3
131,"vulnD|storage",4
131,"serD|unassigned",5
132,"hostD|remoteAccess",0
132,"infoD|remoteAccess",1
132,"infoD|remoteAccess",2
132,"hostD|remoteAccess",3
132,"vulnD|storage",4
132,"serD|unassigned",5
133,"hostD|remoteAccess",0
133,"infoD|remoteAccess",1
133,"infoD|remoteAccess",2
133,"hostD|remoteAccess",3
133,"vulnD|storage",4
133,"serD|unassigned",5
134,"hostD|remoteAccess",0
134,"infoD|remoteAccess",1
134,"infoD|remoteAccess",2
134,"hostD|remoteAccess",3
134,"vulnD|storage",4
134,"serD|unassigned",5
135,"hostD|remoteAccess",0
135,"infoD|remoteAccess",1
135,"infoD|remoteAccess",2
135,"hostD|remoteAccess",3
135,"vulnD|storage",4
135,"serD|unassigned",5
136,"hostD|http(s)",0
136,"vulnD|http(s)",1
136,"serD|ATCcomm",2
136,"hostD|http(s)",3
136,"vulnD|storage",4
136,"serD|unassigned",5
136,"vulnD|storage",6
136,"serD|unassigned",7
136,"vulnD|storage",8
136,"serD|unassigned",9
137,"vulnD|storage",0
137,"serD|ATCcomm",1
137,"vulnD|storage",2
137,"serD|unassigned",3
137,"vulnD|storage",4
137,"serD|unassigned",5
137,"vulnD|storage",6
137,"serD|unassigned",7
138,"vulnD|storage",0
138,"serD|ATCcomm",1
138,"vulnD|storage",2
138,"serD|unassigned",3
138,"vulnD|storage",4
138,"serD|unassigned",5
138,"vulnD|storage",6
138,"serD|unassigned",7
139,"vulnD|storage",0
139,"serD|ATCcomm",1
139,"vulnD|storage",2
139,"serD|unassigned",3
139,"vulnD|storage",4
139,"serD|unassigned",5
139,"vulnD|storage",6
139,"serD|unassigned",7
140,"vulnD|storage",0
140,"serD|ATCcomm",1
140,"vulnD|storage",2
140,"serD|unassigned",3
140,"vulnD|storage",4
140,"serD|unassigned",5
140,"vulnD|storage",6
140,"serD|unassigned",7
141,"hostD|http(s)",0
141,"vulnD|storage",1
141,"serD|ATCcomm",2
141,"hostD|http(s)",3
141,"vulnD|storage",4
141,"serD|unassigned",5
141,"hostD|http(s)",6
141,"vulnD|storage",7
141,"serD|unassigned",8
141,"vulnD|storage",9
141,"serD|unassigned",10
142,"vulnD|storage",0
142,"serD|ATCcomm",1
142,"vulnD|storage",2
142,"serD|unassigned",3
142,"vulnD|storage",4
142,"serD|unassigned",5
142,"vulnD|storage",6
142,"serD|unassigned",7
143,"vulnD|storage",0
143,"serD|ATCcomm",1
143,"vulnD|storage",2
143,"serD|unassigned",3
143,"vulnD|storage",4
143,"serD|unassigned",5
143,"vulnD|storage",6
143,"serD|unassigned",7
144,"vulnD|storage",0
144,"serD|ATCcomm",1
144,"vulnD|storage",2
144,"serD|unassigned",3
144,"vulnD|storage",4
144,"serD|unassigned",5
144,"vulnD|storage",6
144,"serD|unassigned",7
145,"hostD|http(s)",0
145,"vulnD|http(s)",1
145,"serD|ATCcomm",2
145,"hostD|http(s)",3
145,"vulnD|storage",4
145,"serD|unassigned",5
145,"vulnD|storage",6
145,"serD|unassigned",7
145,"vulnD|storage",8
145,"serD|unassigned",9
146,"hostD|http(s)",0
146,"vulnD|storage",1
146,"serD|ATCcomm",2
146,"hostD|http(s)",3
146,"infoD|unassigned",4
146,"vulnD|storage",5
146,"serD|unassigned",6
146,"vulnD|storage",7
146,"serD|unassigned",8
146,"hostD|http(s)",9
146,"vulnD|storage",10
146,"serD|unassigned",11
146,"vulnD|storage",12
146,"serD|unassigned",13
147,"uPrivEsc|hostingServer",0
147,"vulnD|storage",1
147,"serD|unassigned",2
147,"hostD|http(s)",3
148,"CnC|http(s)",0
148,"vulnD|storage",1
148,"serD|unassigned",2
148,"hostD|http(s)",3
149,"netDOS|http(s)",0
149,"uPrivEsc|hostingServer",1
149,"infoD|http(s)",2
149,"surf|http(s)",3
150,"exfil|unassigned",0
150,"infoD|unassigned",1
150,"hostD|wireless",2
150,"vulnD|storage",3
150,"serD|remoteAccess",4
151,"uPrivEsc|hostingServer",0
151,"uPrivEsc|hostingServer",1
151,"uPrivEsc|hostingServer",2
152,"exfil|unassigned",0
152,"infoD|unassigned",1
152,"hostD|surveillance",2
152,"vulnD|storage",3
152,"serD|remoteAccess",4
153,"netDOS|http(s)",0
153,"infoD|http(s)",1
153,"surf|http(s)",2
154,"netDOS|http(s)",0
154,"infoD|http(s)",1
154,"surf|http(s)",2
154,"vulnD|storage",3
154,"serD|unassigned",4
155,"hostD|http(s)",0
155,"vulnD|storage",1
155,"serD|remoteAccess",2
155,"hostD|http(s)",3
155,"vulnD|storage",4
155,"serD|ATCcomm",5
155,"vulnD|storage",6
155,"serD|unassigned",7
155,"vulnD|storage",8
155,"serD|unassigned",9
156,"netDOS|http(s)",0
156,"infoD|http(s)",1
156,"surf|http(s)",2
157,"netDOS|http(s)",0
157,"infoD|http(s)",1
157,"surf|http(s)",2
157,"vulnD|storage",3
157,"serD|unassigned",4
158,"hostD|http(s)",0
158,"vulnD|storage",1
158,"serD|remoteAccess",2
158,"hostD|http(s)",3
158,"vulnD|storage",4
158,"serD|ATCcomm",5
158,"vulnD|remoteAccess",6
158,"vulnD|storage",7
158,"vulnD|storage",8
158,"serD|unassigned",9
159,"vulnD|storage",0
159,"serD|remoteAccess",1
159,"vulnD|storage",2
159,"serD|ATCcomm",3
159,"vulnD|remoteAccess",4
159,"vulnD|storage",5
159,"vulnD|storage",6
159,"serD|unassigned",7
159,"vulnD|storage",8
159,"serD|unassigned",9
160,"hostD|http(s)",0
160,"vulnD|storage",1
160,"serD|remoteAccess",2
160,"hostD|http(s)",3
160,"vulnD|storage",4
160,"serD|ATCcomm",5
160,"vulnD|storage",6
160,"serD|unassigned",7
160,"vulnD|storage",8
160,"vulnD|storage",9
160,"serD|unassigned",10
160,"vulnD|storage",11
160,"serD|unassigned",12
161,"vulnD|storage",0
161,"serD|remoteAccess",1
161,"vulnD|storage",2
161,"serD|ATCcomm",3
161,"vulnD|remoteAccess",4
161,"vulnD|storage",5
161,"vulnD|storage",6
161,"serD|unassigned",7
161,"vulnD|storage",8
161,"serD|unassigned",9
161,"vulnD|storage",10
